Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS,^NSEI
2023-07-06,801.9350585938,928.3946533203,561.1426391602,3020.9492187500,1222.6367187500,1039.8875732422,406.7739257812,2604.3845214844,1199.0367431641,2395.4550781250,19497.3007812500
2023-07-07,794.9450683594,915.8148193359,562.1843261719,3026.7221679688,1210.1728515625,1019.5856323242,402.0529785156,2548.6525878906,1196.6965332031,2357.6743164062,19331.8007812500
2023-07-10,793.0538940430,917.7501831055,561.2373046875,2974.6291503906,1209.2176513672,990.4320678711,399.8641967773,2509.4042968750,1242.7947998047,2347.4709472656,19355.9003906250
2023-07-11,789.1998901367,914.4116210938,557.4016723633,2975.0383300781,1226.9125976562,981.9766845703,406.1301574707,2535.8056640625,1256.2677001953,2381.9311523438,19439.4003906250
2023-07-12,781.8028564453,913.8793945312,558.0645751953,2963.6738281250,1212.9931640625,978.1453857422,405.4005432129,2525.5568847656,1257.6535644531,2363.0646972656,19384.3007812500
2023-07-13,785.7048339844,924.8141479492,554.6551513672,3036.9953613281,1241.9235839844,976.6040039062,405.1430664062,2507.6564941406,1246.4073486328,2358.4443359375,19413.7500000000
2023-07-14,787.3327026367,929.0236206055,553.4712524414,3195.2746582031,1297.2832031250,1013.7283935547,405.9155578613,2528.6267089844,1245.3621826172,2379.7170410156,19564.5000000000
2023-07-17,803.8022460938,937.3940429688,569.2874755859,3174.4104003906,1294.5537109375,1016.1947021484,405.4434509277,2533.1608886719,1270.8084716797,2376.3962402344,19711.4492187500
2023-07-18,803.1320190430,943.9258422852,561.0005493164,3179.0927734375,1342.0892333984,1028.0410156250,405.5722045898,2534.1999511719,1281.6002197266,2382.0751953125,19749.2500000000
2023-07-19,806.7705688477,941.9905395508,569.6190185547,3154.7277832031,1341.8616943359,1029.6708984375,411.0227966309,2523.6203613281,1291.3243408203,2400.7973632812,19833.1503906250
2023-07-20,808.5180664062,963.4247436523,577.7637939453,3156.7788085938,1318.7082519531,1026.7834472656,422.4388732910,2553.5173339844,1289.7604980469,2396.5139160156,19979.1503906250
2023-07-21,802.2941894531,964.7794799805,582.5465087891,3070.1870117188,1211.4462890625,990.9373168945,420.9797058105,2459.7646484375,1249.8347167969,2489.4499511719,19745.0000000000
2023-07-24,803.5628662109,959.9411010742,584.9616088867,3094.2956542969,1215.9953613281,988.6721191406,404.5851135254,2437.3300781250,1224.5549316406,2507.7392578125,19672.3496093750
2023-07-25,812.2764892578,962.5537719727,577.3375854492,3098.3063964844,1214.1757812500,987.4728393555,396.8170166016,2425.9003906250,1223.7673339844,2465.0490722656,19680.5996093750
2023-07-26,809.4516601562,964.2472534180,582.5939331055,3088.4165039062,1227.1400146484,990.5375976562,405.3576049805,2440.2109375000,1243.6562500000,2547.2048339844,19778.3007812500
2023-07-27,801.0493774414,958.2476196289,583.9197998047,3096.2553710938,1231.0520019531,992.6253051758,399.1774902344,2427.5061035156,1232.0871582031,2560.6325683594,19659.9003906250
2023-07-28,786.8539428711,964.0053710938,583.4462890625,3058.4282226562,1219.5433349609,980.3657226562,402.0958862305,2441.4392089844,1244.4686279297,2550.3811035156,19646.0507812500
2023-07-31,790.5403442383,966.0374145508,587.3766479492,3118.6323242188,1233.3719482422,992.0478515625,399.7354125977,2418.9575195312,1255.0039062500,2580.9907226562,19753.8007812500
2023-08-01,795.8308105469,962.4086914062,579.4685668945,3146.5246582031,1242.0146484375,1011.4144287109,398.9628601074,2409.7949218750,1237.2563476562,2566.8408203125,19733.5507812500
2023-08-02,785.4176025391,955.0543212891,566.7777099609,3136.1333007812,1234.4179687500,1004.6627197266,394.9286193848,2426.6557617188,1224.0380859375,2552.7248535156,19526.5507812500
2023-08-03,779.7442016602,933.8135986328,559.2484741211,3099.0354003906,1241.1959228516,999.8655395508,391.4522705078,2409.9836425781,1218.8934326172,2529.3117675781,19381.6503906250
2023-08-04,791.0191040039,939.1359252930,542.9587402344,3138.7768554688,1253.9781494141,1016.6114501953,390.5080871582,2404.9770507812,1235.4595947266,2557.3491210938,19517.0000000000
2023-08-07,790.5643310547,944.1194458008,537.8446044922,3175.6918945312,1267.3062744141,1022.3413085938,390.4651794434,2426.8923339844,1242.4995117188,2566.1105957031,19597.3007812500
2023-08-08,789.9180297852,948.2321777344,542.7693481445,3163.4328613281,1264.7587890625,1013.9462890625,388.2763977051,2423.7277832031,1235.0162353516,2562.5085449219,19570.8496093750
2023-08-09,790.2052001953,949.0126953125,543.3849487305,3156.0493164062,1268.5799560547,1016.4337158203,393.6839904785,2410.8337402344,1243.1640625000,2581.3952636719,19632.5507812500
2023-08-10,783.1912841797,940.6220703125,543.2902221680,3137.4550781250,1263.7580566406,1007.6833496094,387.7613830566,2396.1921386719,1248.7022705078,2573.5095214844,19543.0996093750
2023-08-11,775.0283203125,929.6459960938,543.7637939453,3143.5622558594,1248.0646972656,1040.6862792969,385.1863403320,2363.2255859375,1253.9699707031,2568.6420898438,19428.3007812500
2023-08-14,771.2460937500,936.1829223633,531.1203002930,3144.5190429688,1267.8066406250,1040.2867431641,385.5725708008,2392.7917480469,1268.7884521484,2589.4753417969,19434.5507812500
2023-08-16,768.9958496094,933.2071533203,535.4295043945,3152.3120117188,1290.5052490234,1045.7500000000,386.4738464355,2411.2116699219,1267.7545166016,2619.8005371094,19465.0000000000
2023-08-17,764.7348632812,928.4752807617,541.8696289062,3131.6674804688,1284.1824951172,1045.3503417969,378.5340576172,2402.3793945312,1249.4654541016,2582.2714843750,19365.2500000000
2023-08-18,761.5988769531,927.4995727539,542.6272583008,3069.0932617188,1263.4853515625,1042.6850585938,379.0919799805,2413.2426757812,1258.7208251953,2572.0004882812,19310.1503906250
2023-08-21,761.0003662109,931.9387817383,541.4434204102,3100.5849609375,1278.5874023438,1047.6157226562,384.3708801270,2420.7993164062,1244.9863281250,2591.7631835938,19393.5996093750
2023-08-22,757.7448730469,928.8167724609,538.4127807617,3082.8107910156,1277.0861816406,1047.8378906250,389.9072265625,2423.6809082031,1244.6899414062,2607.8750000000,19396.4492187500
