Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS
2023-01-03,0.00651761394642,-0.00121965025288,0.000326506125106,0.0151842955642,-0.000951873254842,0.00182617014385,-0.00527161200817,-0.00641135611419,-0.0073447973094,-0.000239284042856
2023-01-04,-0.0180344329114,-0.00249940111378,-0.0118266824367,0.000995765677413,-0.0183941658102,-0.00457179647055,-0.0124600558988,-0.00234329399914,-0.0151710415759,-0.00884714781917
2023-01-05,-0.00644918883697,-0.0224386972638,-0.000165127655841,-0.00107138849506,-0.0131989499122,0.00720915068321,0.0195325409929,0.0185949863586,-0.0017883573881,0.00808107819058
2023-01-06,-0.00331858247209,-0.0103473607499,-0.00738133700115,-0.0305266599207,-0.0182648437596,-0.0108817517816,0.00478693722918,-0.00281021074675,0.00904785914938,-0.000383437335039
2023-01-09,0.00194241110084,0.00372823269872,0.011668846107,0.0331959813022,0.0245155814272,0.0329990101975,0.00891400413143,0.0183068195032,0.0233371255961,0.0167057127425
2023-01-10,-0.0184476411094,-0.0138355297254,-0.0208678711667,-0.0101569841727,-0.00995188719928,-0.00337820268425,-0.0138507610176,0.00751706286953,-0.0148977995581,-0.00711876352732
2023-01-11,0.0143076462387,0.00573035586038,0.00260103057785,0.0127890262478,0.0010200651124,-0.00854307221087,-0.00481057332178,-0.0193244156125,-0.0126857953626,0.00883756492238
2023-01-12,0.00532873892245,-0.00654335254063,-0.00302115033429,0.00169592157488,0.00633497241538,0.0158483737342,-0.00589460042073,-0.00123454478459,-0.0218307532239,0.0160560826793
2023-01-13,0.000781158588957,0.0147629889093,0.00870289865155,0.0119842975261,0.0154482505032,0.00572229990267,-0.00334035333293,0.0130227325021,-0.00161951775781,-0.00294459186887
2023-01-16,-0.00963604258151,-0.0094323326871,0.00482097388192,0.0104016340862,0.014426622073,0.0146444115318,0.00440101501263,-0.0103045090373,-0.00956899251356,-0.00755147259913
2023-01-17,0.0147769384879,-0.00011562022718,-0.0168070998499,0.0132143422039,0.00913540892561,0.0157392034781,0.00618911414191,0.0267650609868,0.0140975475837,0.0348976468036
2023-01-18,0.0174978054079,0.00501542265005,-0.00253296639887,0.00342784283467,0.00382513783159,0.0036834254464,0.0071975946467,0.00696695515891,-0.00165540863436,0.0238425705816
2023-01-19,0.0041445576155,-0.00386025842292,-0.00270901788681,-0.00499774986713,-0.00421491686225,0.00563934967861,-0.00749845010753,-0.0136621607862,-0.0010715860867,0.00290788459196
2023-01-20,0.010196615034,0.00483733001949,0.00397630307579,-0.00296886772839,-0.00871282742971,-0.00324439359643,0.00734883646125,-0.0388621910266,-0.0119641599224,-0.0102366194706
2023-01-23,0.00728842605866,0.00154992816886,0.0138349402035,0.015284900226,0.0146086262577,0.0120232715762,0.0093702900151,0.0185228125759,-0.00506883615491,-0.00733809881254
2023-01-24,0.0132994775563,-0.00109043433133,-0.0102111379691,0.00624718014291,0.00251625628995,0.0147409978094,0.00354683139867,0.00157787490575,-0.00592194727813,-0.0117092073366
2023-01-25,-0.0280207987361,-0.0179026846203,-0.0441151507531,-0.00190787416257,-0.00575138247349,-0.0133594190453,0.000884636791963,0.00836728108004,-0.0139214123026,-0.0149700089802
2023-01-27,-0.020126591346,-0.0455683588903,-0.0518765177102,-0.00546729181393,-0.0155775843989,-0.00638863956683,0.0197015317425,-0.00389739021462,-0.0191534308089,-0.0068518339488
2023-01-30,-0.00102160326326,0.00767957819702,-0.0032463111456,0.00660354972675,0.0128519632655,0.0170200444074,-0.00347443646124,-0.0169879175632,0.00953776130753,-0.021977432306
2023-01-31,-0.00661994384629,0.0101488528662,0.0280315138559,-0.0220698985396,-0.0032872137293,-0.0111213004246,0.0216605094001,0.00334323161765,-0.00250325718691,0.00542788305501
