,mean_daily_log_return
HDFCBANK.NS,0.0003178867197555533
ICICIBANK.NS,0.000570946561017336
SBIN.NS,0.0007151464341631863
TCS.NS,9.62318154357721e-05
INFY.NS,0.00019587691234928883
HCLTECH.NS,0.0007609417733816162
ITC.NS,0.00045308778708780175
HINDUNILVR.NS,-6.0333875364522404e-05
RELIANCE.NS,0.00039148206090191157
LT.NS,0.0009451701400213075
